"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","553","Login with correct email and password","LMS service","Sat Jun 07 17:14:55 GMT 2025","passed","Sat Jun 07 17:14:55 GMT 2025","Login","Authentication","",""
"","14","Get file","LMS service","Sat Jun 07 17:15:01 GMT 2025","passed","Sat Jun 07 17:15:01 GMT 2025","Get entity","Files","",""
"","265","Create file with empty directory","LMS service","Sat Jun 07 17:15:02 GMT 2025","passed","Sat Jun 07 17:15:02 GMT 2025","Validate entity","Files","",""
"","32","Create course","LMS service","Sat Jun 07 17:14:56 GMT 2025","passed","Sat Jun 07 17:14:56 GMT 2025","Create entity","Courses","",""
"","290","Update exercise","LMS service","Sat Jun 07 17:14:58 GMT 2025","passed","Sat Jun 07 17:14:58 GMT 2025","Update entity","Exercises","",""
"","11","Get user me","LMS service","Sat Jun 07 17:15:04 GMT 2025","passed","Sat Jun 07 17:15:04 GMT 2025","Get entity","Users","",""
"","286","Get exercises","LMS service","Sat Jun 07 17:14:59 GMT 2025","passed","Sat Jun 07 17:15:00 GMT 2025","Get entities","Exercises","",""
"","542","Create user","LMS service","Sat Jun 07 17:15:03 GMT 2025","passed","Sat Jun 07 17:15:04 GMT 2025","Create entity","Users","",""
"","287","Delete exercise","LMS service","Sat Jun 07 17:14:59 GMT 2025","passed","Sat Jun 07 17:14:59 GMT 2025","Delete entity","Exercises","",""
"","264","Create file","LMS service","Sat Jun 07 17:15:00 GMT 2025","passed","Sat Jun 07 17:15:00 GMT 2025","Create entity","Files","",""
"","24","Create exercise","LMS service","Sat Jun 07 17:14:57 GMT 2025","passed","Sat Jun 07 17:14:57 GMT 2025","Create entity","Exercises","",""
"","531","Create user","LMS service","Sat Jun 07 17:15:03 GMT 2025","passed","Sat Jun 07 17:15:03 GMT 2025","Create entity","Users","",""
"","31","Get course","LMS service","Sat Jun 07 17:14:55 GMT 2025","passed","Sat Jun 07 17:14:56 GMT 2025","Get entities","Courses","",""
"","287","Create user","LMS service","Sat Jun 07 17:15:03 GMT 2025","passed","Sat Jun 07 17:15:03 GMT 2025","Create entity","Users","",""
"","31","Update course","LMS service","Sat Jun 07 17:14:57 GMT 2025","passed","Sat Jun 07 17:14:57 GMT 2025","Update entity","Courses","",""
"","21","Delete file","LMS service","Sat Jun 07 17:15:03 GMT 2025","passed","Sat Jun 07 17:15:03 GMT 2025","Delete entity","Files","",""
"","20","Get exercise","LMS service","Sat Jun 07 17:14:58 GMT 2025","passed","Sat Jun 07 17:14:58 GMT 2025","Get entity","Exercises","",""
"","264","Create file with empty filename","LMS service","Sat Jun 07 17:15:01 GMT 2025","passed","Sat Jun 07 17:15:01 GMT 2025","Validate entity","Files","",""
"","16","Get file with incorrect file id","LMS service","Sat Jun 07 17:15:03 GMT 2025","passed","Sat Jun 07 17:15:03 GMT 2025","Validate entity","Files","",""
